"id","GeotabId","ActiveFrom","ActiveTo","BaseType","Comment","Name","Version","EntityStatus","RecordLastChangedUtc"
"48","aX6aHxk0LOESBktnARp5bOg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Le Lac Peugeot Rebou","4496",1,"2024-04-10 20:02:52.502729"
"49","aW1DvLXvLX0OOACkfptFgAQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Alfa 7 Funilaria E P","4282",1,"2024-04-10 20:02:52.503403"
"50","a9GiTCUOZuEaFdLAm4FSv7w","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Francar Lanternagem","4449",1,"2024-04-10 20:02:52.504062"
"51","aPkCdnaJOwEmS15kVEBjWEQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Cenarium","4281",1,"2024-04-10 20:02:52.504766"
"52","aIq-Tiy7_0kCxrMp-mIBGEg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SPR7 - Ponta Grossa","196",1,"2024-04-10 20:02:52.505417"
"53","aWGVOMrkfwECUX2Ce3CN0tA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD B2W SP2","5076",1,"2024-04-10 20:02:52.506084"
"54","as7FTtcWEPEWfFEP-T-hyMA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Jotaeme Auto Pecas","4558",1,"2024-04-10 20:02:52.506714"
"55","aLa3qyqso9k-lRTqVI_c_Dw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SSP38 - Itupeva","214",1,"2024-04-10 20:02:52.507362"
"56","amZF6d0NW8kSENCPW01298Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - F J Serviços Automotivo","4794",1,"2024-04-10 20:02:52.50801"
"57","aCkZ8zeUz-0yAl6FFI-qkzA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Campneus Praia Grand","2572",1,"2024-04-10 20:02:52.508633"
"58","a5LipiIVOaEGn5Iba4LNDdg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Jra Tacografos","4650",1,"2024-04-10 20:02:52.509289"
"59","anuBBiFN-8U-ID-Nr_tkTjg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Campneus Betim Chaca","4797",1,"2024-04-10 20:02:52.509934"
"60","aZ2XzIl1oVUqs2XUg0eAuNg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Disape - Ribeirao Preto","4375",1,"2024-04-10 20:02:52.51064"
"61","avf-rp-eYqkONzUZw7-xN5w","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Centro Automotivo Li","4185",1,"2024-04-10 20:02:52.511372"
"62","aCUZi9WSyOUut2dw8QmwPmw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","cluster  risco leve - Jardim Sao Pedro","5476",1,"2024-04-10 20:02:52.512023"
"63","atkuu-owH0USkRIL9_RbjVA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Socorro Jj","4673",1,"2024-04-10 20:02:52.512715"
"64","aCtXFJcxfj0WN5z0CYiIN7g","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SABESP - AREA DE RISCO EXTREMA -Cidade Tiradentes, São Paulo - SP, Brasil","516",1,"2024-04-10 20:02:52.513425"
"65","aIQE2WWuIuUSbKe2HWV6mjQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Mecanica Triang","4430",1,"2024-04-10 20:02:52.530832"
"66","aodawWXnK70-7GZPglbGqIg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Cta Centro Tecnico A","734",1,"2024-04-10 20:02:52.531895"
"67","a7IPdpXKfq0uTVng35xMO0Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Romaninho Serviços Automotivo","4240",1,"2024-04-10 20:02:52.532856"
"68","RuleDvirDefectId","2023-07-28 13:31:24.101","2050-01-01 00:00:00","Stock","","Dvir Defect","532",1,"2024-04-10 20:02:52.533781"
"69","aBkJgnY-A9kKF1CzTDzMPLw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Roda Viva Auto Center","4848",1,"2024-04-10 20:02:52.534771"
"70","aU_mvQfHBY0-P9sXjWabvyw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Innova","4294",1,"2024-04-10 20:02:52.535753"
"71","a0df-_E-dNkC60Q2017QXrQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Mecanica Dumarcio","4726",1,"2024-04-10 20:02:52.536675"
"72","ajfgsBX20oES3M9O7vGjFHw","2023-08-01 00:59:32.353","2050-01-01 00:00:00","Custom","","Excesso de velocidade >120Km/h","537",1,"2024-04-10 20:02:52.537642"
"73","a0v5GnVvzSk2T0JkgMglwbA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD Via Varejo RJ","5094",1,"2024-04-10 20:02:52.53853"
"74","ac4eAiFndH0eMpgUQmNUZAQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SSP20 - Sorocaba","149",1,"2024-04-10 20:02:52.542299"
"75","aS4qSbLNheUKx3RwgEzRPKA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - Loggi","5118",1,"2024-04-10 20:02:52.543176"
"76","aNrTZ0zE6l0Cu7-vVHMBqiA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD300 - Magalu","5084",1,"2024-04-10 20:02:52.546133"
"77","atVKaN4rvCkiZFYtJXP1wgw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Funilaria E Pintura - Aracatuba","4880",1,"2024-04-10 20:02:52.546965"
"78","aZCRCNRvjAEKojbP94KBz-g","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SSP12 - São José do Rio Preto","135",1,"2024-04-10 20:02:52.547986"
