ID,ModeloCarro,DeviceId,ChargeType,DurationTicks,StartStateOfCharge,EndStateOfCharge,MeasuredBatteryEnergyInKwh,PeakPowerKw,DeltaSOC,DurationHours,valor_predito,confianca,MeasuredBatteryEnergyInKwh_Predict,Hit_Rate
53,E- SCUDO 4P,b1270,AC,56841070000,93.125,100.0,5.909999847412109,-0.550000011920929,6.875,1.578918611111111,-65536,-65536,6.870695310130962,0.7484046965202705
54,E- SCUDO 4P,b1270,AC,56841070000,93.125,100.0,5.909999847412109,-0.550000011920929,6.875,1.578918611111111,-65536,-65536,6.870695310130962,0.7484046965202705
55,KANGOO Z.E. MAXI 2 LUGARES 2P,b10D7,AC,10399800000,85.0,91.0,1.590000033378601,-0.4340909123420715,15.0,0.2888833333333333,-65536,-65536,3.5559614702864444,0.6964464313771691
56,KANGOO Z.E. MAXI 2 LUGARES 2P,b10D7,AC,10399800000,85.0,91.0,1.590000033378601,-0.4340909123420715,15.0,0.2888833333333333,-65536,-65536,3.5559614702864444,0.6964464313771691
57,KANGOO Z.E. MAXI 2 LUGARES 2P,b9E1,AC,5955200000,81.0,83.9999771118164,0.9399999976158142,-0.4284090995788574,19.0,0.16542222222222222,-65536,-65536,3.187245767424539,0.6964464313771691
58,KANGOO Z.E. MAXI 2 LUGARES 2P,b9E1,AC,5955200000,81.0,83.9999771118164,0.9399999976158142,-0.4284090995788574,19.0,0.16542222222222222,-65536,-65536,3.187245767424539,0.6964464313771691
59,KANGOO Z.E. MAXI 2 LUGARES 2P,b10D7,AC,1699870000,84.0,85.0,0.2899999916553497,-3.454545497894287,16.0,0.047218611111111114,-65536,-65536,2.834231549753803,0.6964464313771691
60,KANGOO Z.E. MAXI 2 LUGARES 2P,b10D7,AC,1699870000,84.0,85.0,0.2899999916553497,-3.454545497894287,16.0,0.047218611111111114,-65536,-65536,2.834231549753803,0.6964464313771691
61,KANGOO Z.E. MAXI 2 LUGARES 2P,b1177,AC,109129730000,41.0,100.0,18.07999992370605,-0.1977272778749466,59.0,3.0313813888888888,-65536,-65536,11.746411799552686,0.6964464313771691
62,KANGOO Z.E. MAXI 2 LUGARES 2P,b40B,AC,44477630000,51.0,74.0,7.059999942779541,-0.5227272510528564,49.0,1.2354897222222223,-65536,-65536,6.382994508233287,0.6964464313771691
63,KANGOO Z.E. MAXI 2 LUGARES 2P,b40B,AC,44477630000,51.0,74.0,7.059999942779541,-0.5227272510528564,49.0,1.2354897222222223,-65536,-65536,6.382994508233287,0.6964464313771691
64,KANGOO Z.E. MAXI 2 LUGARES 2P,b23D,AC,1544530000,94.0,95.0,0.2399999946355819,-0.4420454502105713,6.0,0.04290361111111111,-65536,-65536,2.82134483390028,0.6964464313771691
65,KANGOO Z.E. MAXI 2 LUGARES 2P,b23D,AC,1544530000,94.0,95.0,0.2399999946355819,-0.4420454502105713,6.0,0.04290361111111111,-65536,-65536,2.82134483390028,0.6964464313771691
66,JAC IEV1200T AT 4X2 2P,bA38,AC,15230000,100.0,100.0,0.0,,0.0,0.00042305555555555553,-65536,-65536,-0.007736968568452731,0.9653797584822075
67,JAC IEV1200T AT 4X2 2P,bA38,AC,15230000,100.0,100.0,0.0,,0.0,0.00042305555555555553,-65536,-65536,-0.007736968568452731,0.9653797584822075
68,E-EXPERT,b1265,AC,237030000,100.0,100.0,0.0,-0.1511363685131073,0.0,0.006584166666666667,-65536,-65536,2.550274474081066,0.6506321049548976
69,E-EXPERT,b1265,AC,237030000,100.0,100.0,0.0,-0.1511363685131073,0.0,0.006584166666666667,-65536,-65536,2.550274474081066,0.6506321049548976
70,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,670200000,24.0,24.0,0.1000000014901161,-0.5102272629737854,76.0,0.018616666666666667,-65536,-65536,2.7488120524389,0.6964464313771691
71,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,670200000,24.0,24.0,0.1000000014901161,-0.5102272629737854,76.0,0.018616666666666667,-65536,-65536,2.7488120524389,0.6964464313771691
72,KANGOO Z.E. MAXI 2 LUGARES 2P,b1290,AC,4188800000,100.0,100.0,0.2399999946355819,-0.3602272868156433,0.0,0.11635555555555556,-65536,-65536,3.0407085272825083,0.6964464313771691
73,E-JUMPY,bFAA,AC,17696330000,98.25,100.0,1.149999976158142,-0.550000011920929,1.75,0.4915647222222222,-65536,-65536,4.311425604785173,0.7165073048095479
74,E-JUMPY,bFAA,AC,17696330000,98.25,100.0,1.149999976158142,-0.550000011920929,1.75,0.4915647222222222,-65536,-65536,4.311425604785173,0.7165073048095479
75,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,1390200000,23.0,24.0,0.209999993443489,,77.0,0.03861666666666667,-65536,-65536,2.8085419057576626,0.6964464313771691
76,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,1390200000,23.0,24.0,0.209999993443489,,77.0,0.03861666666666667,-65536,-65536,2.8085419057576626,0.6964464313771691
77,E-JUMPY,bC8C,AC,150490870000,7.25,27.625,11.729999542236328,-0.3954545557498932,92.75,4.1803019444444445,-65536,-65536,17.014262749488413,0.7165073048095479
