"ModeloCarro","id","GeotabId","ChargeIsEstimated","ChargeType","StartTime","DeviceId","DurationTicks","EndStateOfCharge","EnergyConsumedKwh","EnergyUsedSinceLastChargeKwh","Latitude","Longitude","MaxACVoltage","MeasuredBatteryEnergyInKwh","MeasuredBatteryEnergyOutKwh","MeasuredOnBoardChargerEnergyInKwh","MeasuredOnBoardChargerEnergyOutKwh","PeakPowerKw","StartStateOfCharge","TripStop","Version","RecordCreationTimeUtc"
"E-Expert","934","awQ61rhFmYku0X2Notgfg1g",True,"AC","2024-04-10 17:00:37","bF24","19077730000","58.25","0.8522727489471436","5.380000114440918","-20.177228927612305","-40.22438430786133",NULL,"0.75","0.009999999776482582","0","0","-0.4579545557498932","56.875","2024-04-10 16:59:53","2291827","2024-04-10 20:03:05.580012"
"E-Jumpy","242","aUqIgwz5RukKaOSN6DiL9mg",True,"AC","2024-04-10 16:42:49","bC85","62623000000","42.625","5.636363506317139","25.489999771118164","-23.285274505615234","-46.73692321777344",NULL,"4.960000038146973","0","0","0","-0.4022727310657501","34.125","2024-04-10 16:42:30","2291556","2024-04-10 20:03:05.580012"
"E-Jumpy","3104","a49pw1KPs2UmMmuk8FJl4AQ",True,"AC","2024-04-10 16:42:49","bC85","62623000000","42.625","5.636363506317139","25.489999771118164","-23.285274505615234","-46.73692321777344",NULL,"4.960000038146973","0","0","0","-0.4022727310657501","34.125","2024-04-10 16:42:30","2292387","2024-04-10 20:17:26.21686"
"Kangoo Z.E. MAXI 2 Lugares 2P","517","aNvUpmj4trEqb73XC_Z8cOw",True,"AC","2024-04-10 16:40:04","b10F1","43330400000","100","7.1022725105285645","0.019999999552965164","-23.5116024017334","-46.74370574951172",NULL,"6.25","0","0","0","-0.34545454382896423","83","2024-04-10 16:39:29","2291468","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3161","aP-b8B9AIbEq-QpQF25Yy7Q",True,"AC","2024-04-10 16:38:18","b11AA","34515770000","100","5.954545497894287","0.009999999776482582","-23.5116024017334","-46.74373245239258",NULL,"5.239999771118164","0","0","0","-0.6545454263687134","86","2024-04-10 16:37:50","2292459","2024-04-10 20:18:58.115485"
"Partner Rapid Business Pack - Motor 1.4 ","483","aWqQ55MjQlk6WNtmoFqWGzw",True,"AC","2024-04-10 16:25:13","b101A","71530000","100","0","0","-20.1458683013916","-40.237056732177734",NULL,"0","0","0","0","-0.15000000596046448","100","2024-04-10 00:30:30.063","2291521","2024-04-10 20:03:05.580012"
"JAC iEV1200T AT 4x2 2P","3049","aC9Dnj0lDok-2S127EGqLcg",False,"DC","2024-04-10 16:24:55","b738","48998400000","100","42.58000183105469","0","-23.597976684570312","-46.58621597290039",NULL,"42.58000183105469","0","0","0",NULL,"59","2024-04-10 16:23:34","2292333","2024-04-10 20:10:50.426514"
"JAC iEV1200T AT 4x2 2P","3048","aVSYsGRyNt0SjFGkOkSEHmQ",False,"DC","2024-04-10 16:24:13","b738","66900000","59","0","143.67999267578125","-23.597976684570312","-46.58621597290039",NULL,"0","0","0","0","-1.156000018119812","59","2024-04-10 16:23:34","2292332","2024-04-10 20:10:50.426514"
"E-Expert","1569","amBQ26SZY10ij3fgqLURTaA",True,"AC","2024-04-10 16:22:18","bF26","639400000","100","0.011363636702299118","0","-20.145971298217773","-40.237083435058594",NULL,"0.009999999776482582","0","0","0","-2.5556817054748535","100","2024-04-10 01:51:56.063","2291361","2024-04-10 20:03:05.580012"
"Partner Rapid Business Pack - Motor 1.4 ","1242","aMWl_UDpvQkyrYABIVezA9A",True,"AC","2024-04-10 15:51:14","b101A","990400000","100","0","0","-20.1458683013916","-40.237056732177734",NULL,"0","0.009999999776482582","0","0","-0.15000000596046448","100","2024-04-10 00:30:30.063","2291520","2024-04-10 20:03:05.580012"
